"FMS_Temp","CYCLE","Bottle","DateTime","CO2_Samp","CO2_Samp_stdv","O2_Samp","O2_Samp_stdv","FlowRate_Samp","FlowRate_Samp_stdv","CO2_BG","CO2_BG_stdv","O2_BG","O2_BG_stdv","FlowRate_BG","FlowRate_BG_stdv"
25.338,34,9,"2023-10-30 14:17:46",1.61597,0.00196415093332691,20.6418999999999,0.00137032031940838,47.38,0.042163702135579,0.064469,0.000314199158355191,20.95,2.368475785867e-15,46.9,0
25.33,34,10,"2023-10-30 14:28:46",0.51357,0.000413790070231546,20.8330272727275,0.000452825026969279,47.1,0,0.064214,0.000308840124048387,20.95,0.000269679944985893,46.92,0.042163702135579
25.28,35,1,"2023-10-30 15:09:55",0.007051,9.08539731901937e-05,21.8646,0.000516397779494953,47.07,0.0483045891539655,0.05618,9.27361849549573e-05,20.95,0,47.01,0.0316227766016842
25.232,35,2,"2023-10-30 15:18:25",0.05093,0.000139044357430762,21.7841,0.000316227766017224,47.1,0,0.055708,0.000116885509034363,20.95,0,47,0
25.26,35,3,"2023-10-30 15:26:55",0.038573,7.39444235745857e-05,21.7500121212122,0.000279489674431468,47.1,0,0.05539,0.000118227652339789,20.95,0.000302625992906664,47,0
25.285,35,4,"2023-10-30 15:35:25",0.30286,0.000903327183250895,21.4550727272726,0.00150285922780341,47.13,0.0483045891539655,0.055103,0.000113729699043145,20.95,0.000311399577664229,47,0
25.27,35,5,"2023-10-30 15:43:55",0.34351,0.000765143414298542,21.4752818181817,0.000455789543260821,47.13,0.0483045891539655,0.055572,8.89194391945126e-05,20.95,0.000302625992906616,47,0
25.24,35,6,"2023-10-30 15:52:25",0.4271,0.000875595035770921,21.4456363636364,0.00142133810903563,47.18,0.042163702135579,0.055688,0.000121087663377499,20.95,0.000291287632501458,47,0
25.22,35,8,"2023-10-30 16:09:25",1.54403,0.00262257295206237,20.6904090909091,0.000951518368389921,47.5,0,0.056506,0.000127732359077704,20.95,0.000447965847664983,47,0
25.23,35,9,"2023-10-30 16:17:55",1.47067,0.0020325408291649,20.724196969697,0.00110721539274063,47.48,0.042163702135579,0.059328,0.000271776051598043,20.95,0.000511155026660312,47.1,0
