"RQ_Biomass","CFE_Biomass","Treatment","Bottle"
0.3898028,0.959081,"100",3
0.4369387,0.318365,"100",4
0.7339303,1.670815,"100",5
1.419721,1.00567,"200",7
1.568723,0.927509,"200",8
3.83841958390698,0.6779,"500",11
5.01142171773334,0.92787,"500",12
5.29777957762147,1.43394,"500",13
10.0799738209447,1.29755,"1000",15
10.4991317554417,1.14079,"1000",16
