Treatment,1-R.L.,1-R.L.-AA,RQ-Biomass-CUE,RQ-Biomass-CUE-AA,Gas_Weighted_RQ--CUE
100,0.52,0.46,0.15,0.17,0.29
200,0.52,0.47,0.22,0.24,0.33
500,0.42,0.4,0.28,0.29,0.36
1000,0.34,0.32,0.31,0.32,0.33
